Date,Close,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2019-04-15,47.66177749633789,0.08040394726848672,0.3006975863850993,0.5922405199062248,0.5494595714133268,0.5977198165759934,0.5536579114841048,0.2654450328640055,0.015945355235808395,0.8618990356237104,0.00018860454052752051,0.011187556879455357,0.008847879289200666,0.018783179751606538,0.2084675163646873,0.6468239220305171,0.0,0.0,0.020635975030084158,0.01935171230904631,0.02196438479460272,0.08251762294146955,0.5880111841093005,0.0,0.0,0.01630993484905044,0.007571867524901549,0.011810962090249094,0.16308060745810932,0.8014209863545582,0.006593812863983882,0.08848383080957255,0.6097067573602337,0.5803414531424119,0.596126645257576,0.018738375426011367,0.005440473242689342,0.01733529177565432,0.005192924919704134,0.8845924629324652,0.442402031445312,0.7400501866091703,0.7058452850881425,0.6405051960414436,0.6090781944426548,0.6706104358598953,0.676821233268143,0.5036157519535289,0.02246007495378996,0.0044969629708562775,0.00916946426485446,0.0,0.499999999987878,0.6835120076318778,0.5412244796847463,0.18712623375485993,0.5830582877985948,0.0,0.0,0.84,0.0,0.9199999999999999,0.0,0.0,0.7834252562665565,0.5672658698244214,0.5915447583362287,0.6853647772512769,0.7521872385973726,0.6762133278417324,0.7771332888046872,0.7810951294094588,0.7771332888046871,0.6553114936279366,0.6239982379463933,0.7271810265311979,0.7249059083319744,0.4646300758831844,0.18544457471540682,0.29599657133903634,0.19104405436764302,0.019052463548750675,0.46272070046129304,0.49769587609531674,0.027879056103000007
2019-04-16,47.66656494140625,0.0741599726589124,0.3174146131023415,0.6070550611377334,0.548228961388563,0.5978382305047022,0.553946231650938,0.26549425683279837,0.017071021495143918,0.8598912919099749,0.00018860454052752051,0.011928522025954319,0.00921252480132842,0.019910129788634823,0.19769627176319776,0.6329858885588888,0.0,0.0,0.021382818307145973,0.020018869130144668,0.022793653781348122,0.07685520933085033,0.5653641295542542,0.0,0.0,0.01630993484905044,0.007571867524901549,0.011810962090249094,0.16207085817866468,0.80251876587391,0.005749692635882868,0.07274468627288652,0.6074137829818361,0.5795482729560147,0.5917615339861406,0.019624518996642776,0.006363157227371019,0.017806219280625535,0.005901526914492861,0.8495683475221617,0.31663424892664704,0.7897857790453715,0.7028233724764995,0.6102927981340782,0.6123731038946506,0.6694590570571859,0.6774040402878483,0.49914459851389537,0.02246007495378996,0.006857436458419103,0.010346152916674456,0.0008353207758537151,0.24999999998181693,0.6836631165354092,0.5708215538583493,0.16557672955125058,0.5858249679688178,0.0011826215605598989,0.0008151408236478641,0.8,0.0,0.9,0.0,0.0,0.7838696289475187,0.5587415307808858,0.5738328042580595,0.628618429240499,0.7544306525137686,0.5959341171924024,0.7641882304674503,0.7738069931077659,0.7641882304674503,0.651051530221133,0.6099272155835352,0.719165145415948,0.7214994864310836,0.4498488438597885,0.2016301855122203,0.2815880809750874,0.2248348167113364,0.019240636173467607,0.4566558510423434,0.49160201579270374,0.02790114060746467
2019-04-17,48.59476852416992,0.08651576307598842,0.336220194736733,0.6346492250070612,0.5595643901577801,0.5980361917987941,0.5541634603729811,0.2762292105382069,0.018149109116595202,0.8676036207737939,0.00018860454052752051,0.012800552418340938,0.010361410479032829,0.02045306251842166,0.20597737826438733,0.7235681522205093,0.0,0.0,0.022147519693063528,0.020930083325908677,0.023406805921119378,0.08754405056386313,0.6787045754408303,1.0,0.0,0.01630993484905044,0.008168371052214213,0.012118084136847646,0.16977794036642274,0.9866725329895337,0.008797622127616318,0.05358689192623546,0.6086812658127077,0.5792118506461176,0.5959514041033079,0.020757439707221104,0.007370626298213334,0.018890121097848322,0.006898595629698107,0.8051393771762009,0.28200408347880934,0.7849065394685192,0.7008519119829013,0.6020807352877915,0.6226072400680089,0.670644922015293,0.6786576609227923,0.4990997413800617,0.024354462030189677,0.008078783854718413,0.01192677576204676,0.0019829824030746512,0.3750823727887388,0.6913224563098579,0.5896838821065596,0.13229142773158592,0.6195798879996594,0.0036158714563799543,0.002927398309077761,1.0,0.0,1.0,0.0,0.0,0.860401921582832,0.9381053977095459,0.6880375994382844,0.6178050540108574,0.7717979531458701,0.6270011615666311,0.9832746723723361,0.8419317194916551,0.9832746723723361,0.6489295684931251,0.6375497037651352,0.7223190115516044,0.7194933697664002,0.4642955748333376,0.23611071835723157,0.2804857486783062,0.27109805773837553,0.020314669173161243,0.5253680031222349,0.5600411236375028,0.03218294768304074
2019-04-18,48.769412994384766,0.0939580546591443,0.3519609924766907,0.6070922660922988,0.5587934846017525,0.597993242196163,0.55434079304946,0.2778875601026858,0.019280436709398302,0.8693871533107362,0.0007519583010527076,0.013311421900353865,0.011652189997553491,0.02009881677274311,0.22866883618784045,0.7144007172156663,0.0,0.0,0.023110239521096337,0.021697402947678662,0.0245716429154737,0.07362433674415816,0.682742469751231,1.0,0.0,0.01630993484905044,0.009035024040709938,0.012564298161292203,0.1819538315175931,0.9851487789136048,0.005440758849053082,0.03645769402197019,0.6096458333404889,0.5791695865975373,0.5986497372294995,0.02169503360933686,0.008374922164116949,0.019936233636510564,0.007885959318268604,0.8781549792990252,0.27652337740499844,0.8268765077771736,0.6995841469310351,0.5946157888632331,0.6270985033784175,0.670522001312524,0.6798804730818437,0.49571139430450634,0.024953622428112665,0.009493901363938101,0.012939565445051898,0.0035899703420748663,0.5626647455971759,0.7011537835883304,0.5997755603403215,0.12166231815305306,0.6367768306898899,0.0045132956292628645,0.0033022587290654493,1.0,0.0,1.0,0.0,0.0,0.8727693202542413,1.0,0.8322823094968106,0.698050904397718,0.7888843322859602,0.7272154941942495,0.9815463786820873,0.9109094961206944,0.9815463786820872,0.6483260580207615,0.6135983704592023,0.7244913685399453,0.7183837320714415,0.47354440870482356,0.2348616873801108,0.2792262647364493,0.2705516682849187,0.021375144511986105,0.46904679774502905,0.5040411611745271,0.03298858336702466
2019-04-22,48.92969131469727,0.10031270122913429,0.36460753599523144,0.74144600150128,0.5576178016035261,0.5975858259856878,0.5542674997682607,0.2791059411037836,0.020417106489633435,0.8640953318206356,0.001268970917413459,0.014096655076281994,0.012934926761377724,0.02031756526078915,0.24313248805660753,0.7035848601388969,0.0,0.0,0.023938034306876632,0.0226717828328718,0.025247813680558617,0.08425650098370077,0.6734093878145666,1.0,0.0,0.01630993484905044,0.009924147899805585,0.013022081773260558,0.19400057096383067,0.9798174862437814,0.0043039998748977265,0.022284679537088976,0.6103034015698359,0.5792904405305958,0.6001460292301506,0.022569736344954322,0.00931800821536613,0.020939762060406153,0.00885905977280127,0.8835031753578767,0.2910408447010788,0.821832493153061,0.6987236705536737,0.5775410741456635,0.6254159500202225,0.6711339561938439,0.680816629307262,0.4949627798598917,0.025404392482910987,0.010650657848725043,0.01374744150653684,0.004073703642897608,0.7189765252038812,0.713067734856155,0.593776323186423,0.10506734079626745,0.6235039889880035,0.0049743356781960235,0.0037782531340117553,1.0,0.0,1.0,0.0,0.0,0.8841903544147092,1.0,0.9793684659031818,0.8332294582794254,0.8055862225023653,0.7136971608392368,0.9703782610979312,0.9804868890581734,0.9703782610979312,0.6495223230028523,0.6058127282060222,0.7256863534103257,0.7177684554961926,0.478644655362171,0.20444629791595537,0.2690232277299206,0.2394564604134628,0.022326254984386423,0.4679563258788638,0.5029481865599605,0.03372794794040003
2019-04-23,49.63541412353516,0.10988710286158544,0.3797805257574643,0.8269229707918508,0.5628003928925982,0.5987011835215174,0.5541892727348777,0.2855212395360549,0.02147438421956277,0.8657573859448994,0.001268970917413459,0.015188294204365016,0.014503780982821846,0.020855043439972826,0.25692358498187695,0.7458605805781313,0.0,0.0,0.024791667242373444,0.02350674696628477,0.026120757165660063,0.08303536495418176,0.753083399183917,1.0,0.0,0.01630993484905044,0.013086757156290652,0.014650415861776539,0.23901536754448016,0.9883208763528711,0.005709248961851793,0.020850328649162378,0.6129408834088297,0.5800074799592743,0.6056148780905733,0.02369312606508875,0.010286483521076806,0.022310037001024324,0.010019310909769513,0.8514529452425607,0.2938666838671986,0.8031811683202499,0.6994324954759013,0.5712881841834117,0.6272949127295013,0.6725576697733288,0.6811704586826652,0.4977964517572602,0.027007779382573566,0.012793861943468543,0.015638329408448143,0.005794340648869023,0.8283927116084786,0.7330765382771093,0.6658215920774955,0.08222578111661416,0.6577560293994851,0.006835816866026773,0.005700113571886017,1.0,0.24,0.88,0.0,0.0,0.9295624334179786,1.0,1.0,0.9372169251333307,0.8306119466568127,0.8239687272460972,0.9814541427933787,0.9798725640033583,0.9814541427933787,0.6516045958679468,0.6335252905195066,0.7329362484357992,0.7189290709459618,0.4969662567245937,0.20654360862373924,0.26149487566831753,0.24875588355678274,0.023719105488562542,0.507457376339895,0.542327801910087,0.03698345025949294
2019-04-24,49.558868408203125,0.10280024195401476,0.36836932890356805,0.8761804689247552,0.5589840110724402,0.5979950565005286,0.5539589356698125,0.285005364568112,0.02235366485662682,0.8621421937975933,0.0010255667157471338,0.016374885088130953,0.015355424851689281,0.022368397960294856,0.2473987685105517,0.716438714865038,0.0,0.0,0.025593997454064404,0.02405018614053292,0.027190877897508348,0.06475365362529681,0.7308286485284821,1.0,0.0,0.018663106068862595,0.01390838997317273,0.016215043196741552,0.216568620331633,0.9396748498518146,0.002272695399264474,0.020966774586184136,0.6139042527319782,0.5808077034744872,0.6063779312010429,0.02466120910880143,0.011154304100981366,0.023412975825727295,0.011065500084779717,0.8949564068141577,0.31204194527692786,0.816520238847106,0.700428801142571,0.5523332816305713,0.6377812521659252,0.6728471772471905,0.6808916123673294,0.4992525406568564,0.027424332673885193,0.013222518623085933,0.01606569743701547,0.0062413550333203505,0.8987309531113996,0.7537632009830664,0.6753557580285533,0.07413016211043064,0.6669491220473126,0.007446696409226433,0.006330807684755524,1.0,0.2,0.9,0.0,0.0,0.9105149165881437,0.8760701235805702,0.9586900411935234,0.9793528356989016,0.8478598817594587,0.777287682336743,0.9136481050584342,0.9569607634219046,0.9136481050584342,0.6541534335634022,0.6153902370219175,0.7349748793342178,0.7203223319645153,0.4993664248147438,0.17083128765554875,0.24467532893250418,0.216451985130779,0.024899313415347346,0.45082967707614285,0.48573815281495464,0.03663034454906479
2019-04-25,49.10911178588867,0.09501936890681896,0.35630588150147413,0.8258271941189654,0.5524667352754388,0.5967858652660987,0.5536676511024875,0.2817960547743282,0.023086015929593307,0.7896696146238906,0.0010255667157471338,0.017354096722865142,0.015697304235828574,0.024010090424946617,0.22935318056605358,0.6529686036173977,0.0,0.0,0.026301688137584933,0.024755086092082212,0.027901455245525203,0.06470598799008706,0.633170877205443,0.0,0.0,0.019833661150990584,0.01390838997317273,0.016782914043121405,0.19893011844052788,0.8469151137243183,0.0015304361749288176,0.025952565866628297,0.6120205919227526,0.5810048305850988,0.6008456881168668,0.025154774024265664,0.012004441058285076,0.024014112483741495,0.011868985278214395,0.8482671404035601,0.3229776555811952,0.7856391864536179,0.6999197177147238,0.5216349377228657,0.6305241555867961,0.6697418991481274,0.6804632644067836,0.4922106834262742,0.027424332673885193,0.013222518623085933,0.01606569743701547,0.006749582540430177,0.750989432132034,0.7520123817378588,0.6230446771496471,0.17017208466765033,0.6244564009290469,0.008031652019478391,0.006687814775449524,0.96,0.16,0.9,0.0,0.0,0.8023865004554311,0.172548432618402,0.682872852066324,0.880520964419949,0.8434499351711187,0.6671044419177108,0.744122188409077,0.8806122240389532,0.744122188409077,0.6546400013725354,0.5616884974149929,0.7283296993592029,0.7199219674771987,0.48086186989300406,0.14991354156497894,0.22489565333151335,0.20616012218510227,0.02509461062519186,0.4241106608635675,0.4587221370332279,0.03455561533720443
2019-04-26,48.87467193603516,0.09959541685872624,0.3441735398912672,0.8442495426982912,0.5487212104343149,0.5958928721891953,0.552751860493023,0.28009820990464823,0.023554298209784136,0.7181885611964755,0.0010255667157471338,0.018261661920192046,0.01557661815850675,0.026007890215679647,0.2003751333911164,0.6157611661612581,0.0,0.0,0.02679691601406675,0.025277966281567532,0.028368080249710215,0.06676467979653083,0.577701403746699,0.0,0.0,0.02084900033543763,0.01390838997317273,0.017275485072744734,0.18366839999139234,0.7915776585883545,0.0018725620840119236,0.034308770004807566,0.6088073054890488,0.5804067422634781,0.5935511245249907,0.025612136977462063,0.012736240390172238,0.024349646300003858,0.012526836579369482,0.6893781706066805,0.4241534462756016,0.645743076885216,0.697336760494337,0.476125151795618,0.6322420144295724,0.6682119904836658,0.6801362855398329,0.4890321034433193,0.028451426942439045,0.013222518623085933,0.016592577504776412,0.006829207645685953,0.3754947160538949,0.722611533238702,0.5643142080693014,0.31750117753602675,0.5618396984457443,0.008357267703826055,0.008051766995600368,0.92,0.12,0.9,0.0,0.0,0.7497060777536753,0.0,0.34953951873299066,0.6637008039976126,0.8301502756737569,0.7253721608051824,0.6581337686051001,0.7715100106545146,0.6581337686051001,0.6507198068054137,0.5578697587081682,0.7177156501829367,0.7171818766960055,0.4567232782164334,0.13528270869679376,0.2046485899106608,0.2045350944908411,0.025211663129836803,0.43936713802800503,0.47417325034447566,0.033474143312596516
2019-04-29,48.94883346557617,0.09653025387333745,0.35861900941806274,0.7732061660805523,0.5483029443355171,0.597892545697087,0.5525257160881759,0.2807407651995509,0.02406295123979199,0.714400229541441,0.0010255667157471338,0.019115636960779475,0.015377653647558387,0.027980676977773455,0.17090457866934922,0.6159572535828604,0.0,0.0,0.02752741333157374,0.025792255873200803,0.029322217519938826,0.0516833594841839,0.5675280403235684,0.0,0.0,0.02084900033543763,0.01390838997317273,0.017275485072744734,0.1824651884178201,0.8070349174861102,0.00014070590913923403,0.039945648008811355,0.6058494277701555,0.5792325557161763,0.588266537516157,0.02599232063501386,0.013167883743673114,0.024688323532332607,0.013163199808089387,0.7327296577379075,0.4723545249853236,0.6426623003001346,0.6931757885790798,0.41856816428401444,0.620136486745847,0.665811280513835,0.679580620667674,0.4841511086775289,0.02876526568674667,0.013222518623085933,0.016753570885743918,0.006829207645685953,0.1877473580148254,0.6999845023531417,0.5782469476841218,0.29346940813842265,0.5758247689664223,0.013984929673590829,0.013365726601105715,0.88,0.08,0.9,0.0,0.0,0.7572403058733488,0.04189025231744271,0.07147956164528149,0.3679639774815319,0.8204854267572803,0.5961933726061595,0.683487647710768,0.6938439638016115,0.6834876477107679,0.6482959213447864,0.549148101823364,0.7079724557788795,0.7127685430284014,0.43946069202568877,0.1510770567353991,0.19322602632259703,0.23521637459036956,0.025368070804288767,0.46168159350297294,0.4966525373370459,0.03381625076382909
